"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 01- 19","102.06","102.38","102.48","101.99","","-0.30%"
"2023- 01- 18","102.36","102.46","102.90","101.53","","-0.03%"
"2023- 01- 17","102.39","102.32","102.56","101.94","","0.12%"
"2023- 01- 16","102.27","102.18","102.56","101.77","","0.06%"
"2023- 01- 13","102.20","102.21","102.65","101.99","","-0.04%"
"2023- 01- 12","102.25","103.06","103.29","102.08","","-0.91%"
"2023- 01- 11","103.19","103.22","103.48","103.11","","-0.05%"
"2023- 01- 10","103.24","103.29","103.49","103.03","","0.23%"
"2023- 01- 09","103.00","103.91","103.93","102.94","","-0.85%"
"2023- 01- 06","103.88","105.05","105.63","103.87","","-1.11%"
"2023- 01- 05","105.04","104.07","105.27","103.99","","0.76%"
"2023- 01- 04","104.25","104.58","104.60","103.83","","-0.26%"
"2023- 01- 03","104.52","103.66","104.86","103.47","","0.99%"
"2023- 01- 01","103.49","103.49","103.49","103.49","","-0.03%"
